company_name,description,current_stage,partners,founders,sectors,first_partnered_stage,first_partnered_year,first_partnered_date,initial_investment_type,exit_type,exit_description,company_profile_url,company_url,twitter_url,logo_url,image_url,source_url,scraped_at
100ms,Live-video infrastructure for developers,Early Stage,Abhinav Chaturvedi,Kshitij Gupta; Aniket Behera; Sarvesh Dwivedi,,Early Stage,2021,2021,seed,,,https://www.accel.com/companies/100ms,https://www.100ms.live/,,https://cdn.sanity.io/images/458oembh/production/814037c8800e7b683897210c76142101f7e32e94-76x20.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
1Balance,Subscription-based herbal supplements,Early Stage,Subrata Mitra,Srini Sharma; Karthikeyan Iyer; Dikshant Dave,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/1balance,http://www.1balance.com,https://twitter.com/1BalanceLiving,https://cdn.sanity.io/images/458oembh/production/6e754a5b52083af5e787bab06988c3abf21170a8-1072x329.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
1Password,Identity security and access management solutions,Early Stage,Arun Mathew,Jeff Shiner (CEO); Roustem Karimov; Dave Teare,,Early Stage,2019,2019,series-a,,,https://www.accel.com/companies/1password,http://www.1password.com,https://twitter.com/1Password,https://cdn.sanity.io/images/458oembh/production/cb615d9333f95b3134f21febfa83226d42f264cc-908x174.svg,https://cdn.sanity.io/images/458oembh/production/2dc1cf2f192fe417eceba5890a410f89e149038c-756x702.png,https://www.accel.com/companies,2026-05-29T18:35:24Z
99designs,Global creative platform for collaboration between designers and clients,Early Stage,Andrew Braccia,Patrick Llewellyn; Matt Mickiewicz; Mark Harbottle,,Early Stage,2011,2011,series-a,Acquired,by Vistaprint,https://www.accel.com/companies/99designs,http://www.99designs.com,https://twitter.com/99designs,https://cdn.sanity.io/images/458oembh/production/9d129a64cd8e6a41f20f974325f7ed570c7c99c4-1106x261.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
AMCC (Applied Micro Circuits Corporation),Network and storage semiconductor solutions,,Arthur Patterson,Paramesh Gopi (CEO),,,1987,1987,,IPO,NASDAQ: AMCC,https://www.accel.com/companies/amcc,,,https://cdn.sanity.io/images/458oembh/production/d0b71dd96fe0682f6be3f4fc1dcc7d635e772223-1749x309.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
ANSR,Global Capability Center (GCC) establishment and management,Early Stage,Shekhar Kirani,Lalit Ahuja; Subashi Runie Trivedi; Thomas W. Sisson II; V. Bunty Bohra; Vikram Ahuja,,Early Stage,2015,2015,series-a,,,https://www.accel.com/companies/ansr,http://www.ansr.com,https://twitter.com/ansrconsulting,https://cdn.sanity.io/images/458oembh/production/13e3a107fb309635c44c67705803990b35c0d599-1801x663.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Aavenir,SaaS-based source-to-pay solutions,Early Stage,Prayank Swaroop,Jesal Mehta,,Early Stage,2020,2020,seed,,,https://www.accel.com/companies/aavenir,http://www.aavenir.com,https://twitter.com/AavenirInfo,https://cdn.sanity.io/images/458oembh/production/ec0fa7f6a9e13e0025ea89c8ccd0c2762f6dd80e-117x49.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Acalvio,Enterprise-scale cyber deception technology,Early Stage,Arthur Patterson,Nat Natraj; Sreenivas Gukal; Ram Varadarajan; Raj Gopalakrishna,,Early Stage,2015,2015,series-a,,,https://www.accel.com/companies/acalvio,http://www.acalvio.com,https://twitter.com/acalviotech,https://cdn.sanity.io/images/458oembh/production/0d527a05c0be415cbf6061ba3fb775d589c4b6c4-500x101.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Acko,Digital insurance platform,Early Stage,Abhinav Chaturvedi,Varun Dua,,Early Stage,2013,2013,seed,,,https://www.accel.com/companies/acko,http://www.acko.com,https://twitter.com/AckoInsurance,https://cdn.sanity.io/images/458oembh/production/2f831e1cfe86c768af824748744a01d51dc3390e-2112x512.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Actuate,Enterprise reporting and business intelligence solutions,Early Stage,Arthur Patterson,Pete Cittadini (CEO),,Early Stage,1993,1993,series-a,IPO,NASDAQ: BIRT,https://www.accel.com/companies/actuate,http://www.actuate.com,,https://cdn.sanity.io/images/458oembh/production/1b39e1c3e84d8e588977479ec42526b38a3ccc93-2081x417.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
