company_name,description,status,first_partnered_year,company_url,logo_url,source_url,scraped_at
Zipline,Zipline is a drone logistics and delivery company.,Active,2011,http://www.flyzipline.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dd057fb1a50c35d9a1ace4_zipline.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Palmetto,Palmetto is the leading clean technology software and fulfillment platform company.,Active,2018,https://www.palmetto.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcaf364ee07c3549ae73da_Palmetto.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Hungryroot,"Hungryroot is your personal grocer, powered by AI.",Active,2015,http://www.hungryroot.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d956d5d7ac1d72ebde9399_Hungryroot.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
ZenBusiness,ZenBusiness helps entrepreneurs start and grow a business.,Active,2018,https://zenbusiness.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dd0565c0562d5b0ba549c5_ZenBusiness.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Warby Parker,Warby Parker is a retailer of prescription eyeware.,Exited,2010,http://www.warbyparker.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dd027c865a236801fe20b0_Warby%20Parker.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Guideline,"Guideline is the easy, affordable retirement platform for small businesses.",Exited,2019,https://www.guideline.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d94740235b432938399523_Guideline.png,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Prose,Prose offers fresh and custom-made hair care solutions.,Active,2017,https://prosehair.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcb07ac36a6445a0657872_Prose.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Blockdaemon,Blockdaemon is a multi-cloud platform for leading blockchain protocols.,Active,2019,https://blockdaemon.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d91d0161e361f66c873aaa_Blockdaemon.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Heartbeat Health,Heartbeat is redsigning the field of cardiology to be more inclusive.,Active,2018,https://www.heartbeathealth.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9480d3a8686f66c29fa1f_Heartbeat%20Health.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
MIRROR,MIRROR is the first connected fitness system.,Exited,2016,http://getthemirror.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d95b70d1ff7bc15ea7d738_MIRROR.png,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Venmo,Venmo is a mobile payment platform.,Exited,2010,http://www.braintreepayments.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dce6f9b1a0e029d0a41a8c_Venmo.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
K Health,K Health is an AI-powered telehealth company that provides 24/7 virtual care.,Active,2016,http://khealth.ai,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9599da0d39aeb6b6115d2_K%20Health.png,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Air,Air is the automated creative operations platform.,Active,2019,https://air.inc/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9146c8979322a32c8e809_air.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
ClassDojo,"ClassDojo is a behavior feedback platform for teachers, students, and parents.",Active,2011,http://www.classdojo.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d93f68b085be8389043360_ClassDojo.png,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Ollie,Ollie is a trailblazing pet wellness brand.,Exited,2016,https://www.myollie.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcae25f6e01d33fcc059d0_Ollie.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Studs,Studs is a piercing and e-commerce experience tailor-made for a new generation.,Active,2019,https://studs.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcd5d2781191d58ce1f70f_Studs.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Opentrons,Opentrons makes robots for biologists.,Exited,2017,https://opentrons.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcae6d469118b38133929a_Opentrons.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Plantible,Plantible is producing the next generation plant-based protein.,Active,2020,https://www.plantiblefoods.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcb00d6aae03baabf4acb0_Plantible.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Oscar,Oscar is a health insurance company that uses tech to humanize healthcare.,Exited,2013,http://www.hioscar.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcaeac03877eb611e2a7fc_Oscar.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Topicals,Topicals is the skincare brand working to destigmatize chronic skin conditions.,Active,2020,https://www.mytopicals.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcd80057444c276b1de24b_Topicals.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Crexi,Crexi is a commercial real estate marketplace.,Active,2015,http://www.crexi.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d94074d824bb1ac40d5026_Crexi.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Fi,Fi is a dog technology company.,Active,2018,https://tryfi.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d944a67020f94b551ff3d0_Fi.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Glossier,"Glossier is a content-driven, direct-to-consumer beauty brand.",Active,2013,http://www.glossier.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d946613076430a8498e2ef_Glossier.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Splice,Splice is a music creation ecosystem combining genAI with an unmatched sounds library.,Active,2013,http://splice.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dcd2f252098aff29af5e2c_Splice.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
10Beauty,10Beaty creates intelligent beauty products.,Active,2020,https://www.10beauty.co/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d90ff17fccea4f7f9569ed_10Beauty.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
A Bit Lucky,A Bit Lucky is a real-time multiplayer social game developer.,Exited,2010,http://www.zynga.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d91039d99c7b2cf90c4626_A%20Bit%20Lucky.png,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Abra,Abra is a secure all-in-one digital wallet.,Active,2014,https://abra.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9109c71f5e411e5ea5834_Abra.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
ActionX,ActionX is a mobile customer acquisition and retargeting platform.,Exited,2012,https://www.xaxis.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dfaca7dc88071b875011ea_actionx-logo.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
AIR Platforms,AIR Platforms is the AI-powered credit intelligence platform.,Active,2025,https://www.airplatforms.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69e08a0f8d282b49901669af_AIR%20Platforms.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Allbirds,Allbirds is the sustainable footwear brand.,Exited,2015,http://www.allbirds.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d91518b976a6af2c73be4d_Allbirds.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Altitude,Altitude AI processes raw sensor data.,Active,2023,https://www.getaltitudeai.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d915423377aadd9dc4c74e_Altitude.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Ample Hills,"Ample Hills is a small-batch, all-natural ice cream maker.",Exited,2015,https://www.amplehills.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69dfad94b63a10f03273ddc3_ample-hills-logo.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Armstrong,Armstrong is the kitchen robotics company.,Exited,2021,https://armstrong.ai/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9159bf45dd2f1a21e15b9_Armstrong.png,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Augmentir,Augmentir is the agentic platform for connected industrial frontline work.,Active,2019,https://www.augmentir.com/,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d915ed5a245aae49fc81d1_Augmentir.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Augmodo,Augmodo is the spatial computing platform for retail and commerce.,Active,2024,http://augmodo.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9160e223252604671afe6_Augmodo.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
Augury,Augury the AI-powered solution that automatically diagnoses machines.,Active,2014,http://www.augury.com,https://cdn.prod.website-files.com/69ca9a18b40272cd4150f1b9/69d9162f40c5cde5871451c9_Augury.svg,https://www.lererhippeau.com/portfolio,2026-06-22T13:46:19Z
