company_name,description,founders,founder_titles,fund,location,announcement_text,announcement_urls,company_profile_url,company_url,why_we_invested_url,founder_image_urls,source_url,scraped_at
GlossGenius,Comprehensive platform for Beauty Industry.,Danielle Cohen-Shohet; Karim Butt,CEO; Co-Founder,Growth,New York,GlossGenius raises $28 million Series C led by L Catterton,https://techcrunch.com/2023/07/27/glossgenius-raises-28m-to-expand-its-bookings-and-payments-platform-for-beauty-businesses/?guccounter=1,,https://www.glossgenius.com,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4bd98f04111cae96f44_0c7cf71a.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed4bd98f0410cdee96f45_878a97f8.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Aerodome,Air support and Drone-as First-Responder infrastructure for police departments.,Rahul Sidhu; Kenaniah Cerny,CEO; CTO,Exited,New York,Flock Safety acquires Aerodome,https://www.2048.vc/blog/flock-aerodome,,https://www.aerodome.com/,https://www.2048.vc/blog/our-investment-in-aerodome,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65369adeb051c50c55e5c472_Screenshot%202023-10-23%20at%2012.09.56%20PM.png; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6529544929681836be9437c1_Aerodome%20Kenaniah.jpeg,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Laminar,Platform for precision automation for industrials and data centers.,Annie Lu; David Lu,CEO; CTO,Series A,Boston,Laminar raises $12 million Series A led by Greycroft ‍,https://fortune.com/2025/07/16/h2ok-innovations-raises-12-million-series-a-to-make-manufacturing-more-precise-for-big-name-customers-like-coca-cola-and-unilever/,,https://runlaminar.com/,https://www.2048.vc/blog/our-investment-in-h2ok-innovations,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee24a0ae4a9d4d0483c06_f6130442.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee24a0ae4a92c24483c07_39845850.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Airspace Link,Workflow and infrastructure for flying drones beyond the visual line of sight.,Michael Healander; Daniel Bradshaw; Ana Healander,CEO; CTO; Head of CX,Series B,Detroit,Airspace Link raises $23 million Series B led by Avanta Ventures,https://techcrunch.com/2022/06/22/airspace-links-drone-tracking-platform-gathers-government-customers-before-going-global/?guccounter=1,,https://www.airspacelink.com,http://www.2048.vc/blog/our-investment-in-airspace-link,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee06a6de3c876fb512a24_a9a10ec5.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee06a6de3c8e72c512a23_c77085c4.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee06a6de3c84d59512a25_320a8570.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Nomic Bio,Next generation proteomic tools.,Dr. Milad Dagher; Dr. David Juncker; Dr. Jeff Munzar,CEO; CSO; Head of Tech,Series B,Montreal,Nomic Bio raises $42 million Series B,https://www.businesswire.com/news/home/20240917144673/en/Nomic%C2%AE-Secures-42M-in-Oversubscribed-Series-B-to-Expand-Access-to-Protein-Profiling?utm_content=308042539&utm_medium=social&utm_source=linkedin&hss_channel=lcp-11679093,,https://www.nomicbio.com,https://2048-ventures-7465.webflow.io/blog/our-investment-in-nplex,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aeddb3fc5174570317faf5_a6661a0a.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aeddb3fc51747ab617faf4_2d1530dd.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aeddb3fc5174630f17faf6_52c1003c.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
TwoStep Therapeutics,Peptide-drug conjugates for targeted delivery to solid tumors.,Caitlyn Miller,CEO,Series A,Bay Area,TwoStep Therapeutics raises $6.5 million Seed led by NFX ‍,https://www.genengnews.com/topics/cancer/bertozzis-twostep-therapeutics-to-target-solid-tumors-with-engineered-peptide-drug-delivery-vehicle/,,https://www.twosteptx.com/,https://www.2048.vc/blog/our-investment-in-twostep-therapeutics,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65ef664d2c9dcfc9ab20c79f_TwoStep%20Caitlyn.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Fazeshift,AI-powered apps for invoicing & accounts receivable.,Caitlin Leksana; Timmy Galvin,CEO; CTO,Series A,Boston,"Fazeshift scores $17M as investors bet on AI-powered finance ops, starting with accounts receivable",https://www.fazeshift.com/; https://news.crunchbase.com/fintech/fazeshift-accounts-receivable-ai-finance-ops-startup-funding/,,https://www.fazeshift.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/62b218407ec852792dd8f30c_Carma%20Caitlin.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/62b2186a372a983a24c55af5_Timmy%20Carma.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Impilo,The operational OS for at-home health.,Josh Stein; Patrick Quire,CEO; COO,Series A,Philadelphia,Impilo raises $11.5 million Series A led by Construct Capital ‍,https://www.axios.com/pro/health-tech-deals/2024/11/14/impilo-bags-115m-to-enable-rpm-capabilities,,https://www.impilo.health/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed68e04dbfd5869d9ead9_0ae913c4.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/66ba845584b772e7788ec850_Impilo%20Patrick.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Growth Signals,AI-powered system of record and communication for corporate innovation.,Sean Ammirati; Andrew Giessel; Anna Lawn,CEO; CTO; Head of Product,Series A,US-Other,,,,#,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/66c7470cbd2fca8529c428d3_Proftable%20Sean.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/67094e24136aa7b057404763_Proftable%20Andrew.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68912f49bebaa13a0543684c_Anna.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Nionyx Bio,"Nionyx is engineering programmable AAV vectors for tissue-specific delivery, with an initial focus on rare kidney diseases.",Magdalena Tyrpien; Leszek Lisowski,CEO; CSO,Seed,New York,,,,https://nionyxbio.com/,https://www.2048.vc/blog/our-investment-in-nionyx-bio,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6894e4d89b67b524fcd89978_Nionyx%20Magdalena.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6894e4f52f0d451cff27fd34_Nionyx%20Leszek.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
