company_name,description,sectors,location,afore_stage,current_stage,follow_on_investors,company_profile_url,company_url,logo_url,image_url,source_url,scraped_at
AgentOps,"A benchmarking, testing, and compliance developer platform for building reliable AI agents.",AI,Bay Area,AFORE PRE-SEED,,645 Ventures,,https://www.agentops.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Amicus Law,A vertical AI solution for the legal space.,AI,Remote,AFORE PRE-SEED,,,,https://amicuslaw.ai/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Andrena,High speed wireless Internet at a fraction of the cost.,Hardware,NYC,AFORE PRE-SEED,,645 Ventures; Dragonfly Ventures,,https://andrena.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Arrow,Fast and accurate healthcare payments for health plans and providers.,Healthcare,NYC,AFORE PRE-SEED,,Gradient Ventures,,https://arrowhq.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Baselayer,"Business Credit Bureau & all related aspects (B2B Fraud Prevention, KYB, Credit Score).",AI,NYC,AFORE PRE-SEED,,Torch Capital,,https://baselayerhq.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Basis,Empowers your finance team to provide nextgen insights to the rest of the organization.,SaaS,Bay Area,AFORE PRE-SEED,,,,https://basis.so/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
BeatBread,Platform that provides funding to musicians while allowing them to choose their partners and retain complete ownership.,Consumer,LA,AFORE PRE-SEED,,Deciens Capital,,https://beatbread.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Benchsci,Machine learning platform that empowers biomedical scientists to plan and execute more successful experiments.,SaaS,Canada,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/benchsci,https://www.benchsci.com/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd74d9f199f20_Mask%20group-7.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd7398a199f1d_shutterstock_691541056.jpeg,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
BetterUp,Executive coaching for everyone.,SaaS,Bay Area,AFORE PRE-SEED,,,https://www.afore.vc/success-stories/betterup,https://www.betterup.com/,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd7ddf6199f19_Mask%20group-4.png,https://cdn.prod.website-files.com/62715edd66fdd7647a199f07/62715edd66fdd79c4a199f1a_Frame%20264.png,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
Blooming Health,Communications platform for social care organizations.,Healthcare,NYC,AFORE PRE-SEED,,Insight Venture Partner,,https://gobloominghealth.com/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
BoxBot,Modular warehouse automation for package delivery networks,Hardware,Bay Area,AFORE PRE-SEED,,Artiman Ventures; Toyota; Playground,,https://www.boxbot.io/,,,https://www.afore.vc/portfolio,2026-06-15T14:40:41Z
